country_code,country_name,state_code,state_name,state_abbreviation,municipality_code,municipality_name,population_size,hdi,years,employability_rate
BR,Brasil,11,Rondônia,RO,1100015,Alta Floresta D'Oeste,22516,0.641,"[2020, 2019, 2018, 2017, 2016]","[2990, 3023, 3271, 3318, 3348]"
BR,Brasil,11,Rondônia,RO,1100098,Espigão D'Oeste,33009,0.672,"[2020, 2019, 2018, 2017, 2016]","[5391, 5192, 5301, 5157, 5326]"
BR,Brasil,11,Rondônia,RO,1100106,Guajará-Mirim,46930,0.657,"[2020, 2019, 2018, 2017, 2016]","[4443, 4422, 4504, 4492, 4482]"
BR,Brasil,11,Rondônia,RO,1100023,Ariquemes,111148,0.702,"[2020, 2019, 2018, 2017, 2016]","[20139, 20013, 19886, 19976, 19827]"
BR,Brasil,11,Rondônia,RO,1100031,Cabixi,5067,0.65,"[2020, 2019, 2018, 2017, 2016]","[616, 608, 607, 645, 621]"
BR,Brasil,11,Rondônia,RO,1100049,Cacoal,86416,0.718,"[2020, 2019, 2018, 2017, 2016]","[20132, 20304, 19942, 19682, 18811]"
BR,Brasil,11,Rondônia,RO,1100056,Cerejeiras,16088,0.692,"[2020, 2019, 2018, 2017, 2016]","[2631, 2453, 2482, 2600, 2445]"
BR,Brasil,11,Rondônia,RO,1100064,Colorado do Oeste,15213,0.685,"[2020, 2019, 2018, 2017, 2016]","[2525, 2422, 2401, 2535, 2380]"
BR,Brasil,11,Rondônia,RO,1100072,Corumbiara,7052,0.613,"[2020, 2019, 2018, 2017, 2016]","[934, 984, 860, 809, 792]"
BR,Brasil,11,Rondônia,RO,1100080,Costa Marques,19255,0.611,"[2020, 2019, 2018, 2017, 2016]","[1064, 1036, 996, 1013, 1072]"
BR,Brasil,43,Rio Grande do Sul,RS,4303004,Cachoeira do Sul,81552,0.742,"[2020, 2019, 2018, 2017, 2016]","[15324, 15846, 16001, 16327, 16246]"
BR,Brasil,51,Mato Grosso,MT,5108105,Tesouro,3761,0.655,"[2020, 2019, 2018, 2017, 2016]","[231, 226, 217, 232, 228]"
BR,Brasil,51,Mato Grosso,MT,5108204,Torixoréu,3487,0.716,"[2020, 2019, 2018, 2017, 2016]","[498, 528, 539, 521, 502]"
BR,Brasil,51,Mato Grosso,MT,5108303,União do Sul,3455,0.665,"[2020, 2019, 2018, 2017, 2016]","[735, 754, 575, 572, 523]"
BR,Brasil,11,Rondônia,RO,1100114,Jaru,51469,0.689,"[2020, 2019, 2018, 2017, 2016]","[11156, 11004, 10714, 10462, 10032]"
BR,Brasil,11,Rondônia,RO,1100122,Ji-Paraná,131026,0.714,"[2020, 2019, 2018, 2017, 2016]","[32114, 33124, 32394, 31280, 30008]"
BR,Brasil,11,Rondônia,RO,1100130,Machadinho D'Oeste,41724,0.596,"[2020, 2019, 2018, 2017, 2016]","[3594, 3604, 3527, 3428, 3252]"
BR,Brasil,11,Rondônia,RO,1100148,Nova Brasilândia D'Oeste,20504,0.643,"[2020, 2019, 2018, 2017, 2016]","[1995, 2028, 1868, 1922, 1867]"
BR,Brasil,11,Rondônia,RO,1100155,Ouro Preto do Oeste,35445,0.682,"[2020, 2019, 2018, 2017, 2016]","[6414, 6653, 6254, 6448, 6132]"
