,country_code,country_name,state_code,state_name,state_abbreviation,municipality_code,municipality_name,population_size,hdi,years,employability_rate
22,BR,Brasil,29,Bahia,BA,2919926,Madre de Deus,21754,0.708,"[2020, 2019, 2018, 2017, 2016]","[2758, 3022, 2878, 3272, 3137]"
61,BR,Brasil,28,Sergipe,SE,2802502,General Maynard,3421,0.645,"[2020, 2019, 2018, 2017, 2016]","[381, 319, 380, 363, 269]"
114,BR,Brasil,22,Piauí,PI,2203255,Curralinhos,4475,0.555,"[2020, 2019, 2018, 2017, 2016]","[161, 184, 183, 171, 123]"
143,BR,Brasil,21,Maranhão,MA,2102200,Buriti,28916,0.5479999999999999,"[2020, 2019, 2018, 2017, 2016]","[1098, 1062, 1092, 991, 971]"
162,BR,Brasil,15,Pará,PA,1500107,Abaetetuba,160439,0.628,"[2020, 2019, 2018, 2017, 2016]","[12490, 11826, 11542, 11075, 10262]"
163,BR,Brasil,15,Pará,PA,1500131,Abel Figueiredo,7536,0.622,"[2020, 2019, 2018, 2017, 2016]","[765, 800, 798, 631, 573]"
164,BR,Brasil,15,Pará,PA,1500206,Acará,55744,0.506,"[2020, 2019, 2018, 2017, 2016]","[5315, 4849, 4938, 5111, 4316]"
165,BR,Brasil,22,Piauí,PI,2203800,Flores do Piauí,4461,0.547,"[2020, 2019, 2018, 2017, 2016]","[334, 398, 398, 374, 267]"
166,BR,Brasil,15,Pará,PA,1500305,Afuá,39910,0.489,"[2020, 2019, 2018, 2017, 2016]","[2463, 2548, 2501, 2506, 2232]"
167,BR,Brasil,15,Pará,PA,1500347,Água Azul do Norte,27797,0.564,"[2020, 2019, 2018, 2017, 2016]","[1612, 1532, 1361, 1572, 1554]"
168,BR,Brasil,15,Pará,PA,1500404,Alenquer,57390,0.564,"[2020, 2019, 2018, 2017, 2016]","[3161, 3098, 3103, 3213, 2670]"
169,BR,Brasil,15,Pará,PA,1500503,Almeirim,34044,0.642,"[2020, 2019, 2018, 2017, 2016]","[4829, 4093, 4662, 4666, 5125]"
170,BR,Brasil,15,Pará,PA,1500602,Altamira,117320,0.665,"[2020, 2019, 2018, 2017, 2016]","[15552, 18500, 20043, 19031, 21046]"
171,BR,Brasil,15,Pará,PA,1500701,Anajás,30091,0.484,"[2020, 2019, 2018, 2017, 2016]","[2104, 1340, 1395, 1316, 1187]"
172,BR,Brasil,15,Pará,PA,1500800,Ananindeua,540410,0.718,"[2020, 2019, 2018, 2017, 2016]","[73095, 72508, 69107, 70514, 66269]"
173,BR,Brasil,15,Pará,PA,1500859,Anapu,29312,0.5479999999999999,"[2020, 2019, 2018, 2017, 2016]","[2148, 1868, 1791, 1810, 1608]"
174,BR,Brasil,15,Pará,PA,1500909,Augusto Corrêa,46937,0.52,"[2020, 2019, 2018, 2017, 2016]","[2189, 2643, 2676, 2725, 1613]"
175,BR,Brasil,15,Pará,PA,1500958,Aurora do Pará,32200,0.519,"[2020, 2019, 2018, 2017, 2016]","[1552, 1658, 1555, 1510, 1774]"
176,BR,Brasil,15,Pará,PA,1501006,Aveiro,16421,0.541,"[2020, 2019, 2018, 2017, 2016]","[963, 905, 760, 785, 748]"
177,BR,Brasil,15,Pará,PA,1501105,Bagre,31967,0.47100000000000003,"[2020, 2019, 2018, 2017, 2016]","[810, 746, 725, 657, 638]"
