country_code,country_name,state_code,state_name,municipality_code,municipality_name
BR,Brasil,11,Rondônia,1100015,Alta Floresta D'Oeste
BR,Brasil,11,Rondônia,1100098,Espigão D'Oeste
BR,Brasil,11,Rondônia,1100106,Guajará-Mirim
BR,Brasil,11,Rondônia,1100023,Ariquemes
BR,Brasil,11,Rondônia,1100031,Cabixi
BR,Brasil,11,Rondônia,1100049,Cacoal
BR,Brasil,11,Rondônia,1100056,Cerejeiras
BR,Brasil,11,Rondônia,1100064,Colorado do Oeste
BR,Brasil,11,Rondônia,1100072,Corumbiara
BR,Brasil,11,Rondônia,1100080,Costa Marques
BR,Brasil,43,Rio Grande do Sul,4303004,Cachoeira do Sul
BR,Brasil,51,Mato Grosso,5108105,Tesouro
BR,Brasil,51,Mato Grosso,5108204,Torixoréu
BR,Brasil,51,Mato Grosso,5108303,União do Sul
BR,Brasil,11,Rondônia,1100114,Jaru
BR,Brasil,11,Rondônia,1100122,Ji-Paraná
BR,Brasil,11,Rondônia,1100130,Machadinho D'Oeste
BR,Brasil,11,Rondônia,1100148,Nova Brasilândia D'Oeste
BR,Brasil,11,Rondônia,1100155,Ouro Preto do Oeste
BR,Brasil,11,Rondônia,1100189,Pimenta Bueno
BR,Brasil,11,Rondônia,1100205,Porto Velho
BR,Brasil,11,Rondônia,1100254,Presidente Médici
BR,Brasil,29,Bahia,2919926,Madre de Deus
BR,Brasil,11,Rondônia,1100262,Rio Crespo
BR,Brasil,11,Rondônia,1100288,Rolim de Moura
BR,Brasil,11,Rondônia,1100296,Santa Luzia D'Oeste
BR,Brasil,11,Rondônia,1100304,Vilhena
BR,Brasil,11,Rondônia,1100320,São Miguel do Guaporé
BR,Brasil,11,Rondônia,1100338,Nova Mamoré
BR,Brasil,11,Rondônia,1100346,Alvorada D'Oeste
BR,Brasil,11,Rondônia,1100379,Alto Alegre dos Parecis
BR,Brasil,11,Rondônia,1100403,Alto Paraíso
BR,Brasil,11,Rondônia,1101435,Nova União
BR,Brasil,11,Rondônia,1100452,Buritis
BR,Brasil,11,Rondônia,1100502,Novo Horizonte do Oeste
BR,Brasil,11,Rondônia,1100601,Cacaulândia
BR,Brasil,11,Rondônia,1100700,Campo Novo de Rondônia
BR,Brasil,11,Rondônia,1100809,Candeias do Jamari
BR,Brasil,11,Rondônia,1100908,Castanheiras
BR,Brasil,11,Rondônia,1100924,Chupinguaia
BR,Brasil,12,Acre,1200203,Cruzeiro do Sul
BR,Brasil,17,Tocantins,1715002,Nova Rosalândia
BR,Brasil,11,Rondônia,1100940,Cujubim
BR,Brasil,11,Rondônia,1101005,Governador Jorge Teixeira
BR,Brasil,11,Rondônia,1101104,Itapuã do Oeste
BR,Brasil,11,Rondônia,1101203,Ministro Andreazza
BR,Brasil,11,Rondônia,1101302,Mirante da Serra
BR,Brasil,11,Rondônia,1101401,Monte Negro
BR,Brasil,14,Roraima,1400308,Mucajaí
BR,Brasil,14,Roraima,1400407,Normandia
BR,Brasil,14,Roraima,1400456,Pacaraima
BR,Brasil,14,Roraima,1400472,Rorainópolis
BR,Brasil,17,Tocantins,1715101,Novo Acordo
BR,Brasil,11,Rondônia,1101450,Parecis
BR,Brasil,11,Rondônia,1101468,Pimenteiras do Oeste
BR,Brasil,11,Rondônia,1101476,Primavera de Rondônia
BR,Brasil,11,Rondônia,1101484,São Felipe D'Oeste
BR,Brasil,11,Rondônia,1101492,São Francisco do Guaporé
BR,Brasil,11,Rondônia,1101500,Seringueiras
BR,Brasil,11,Rondônia,1101559,Teixeirópolis
BR,Brasil,11,Rondônia,1101609,Theobroma
BR,Brasil,28,Sergipe,2802502,General Maynard
BR,Brasil,11,Rondônia,1101708,Urupá
BR,Brasil,11,Rondônia,1101757,Vale do Anari
BR,Brasil,11,Rondônia,1101807,Vale do Paraíso
BR,Brasil,12,Acre,1200013,Acrelândia
BR,Brasil,12,Acre,1200054,Assis Brasil
BR,Brasil,12,Acre,1200104,Brasiléia
BR,Brasil,12,Acre,1200138,Bujari
BR,Brasil,12,Acre,1200179,Capixaba
BR,Brasil,12,Acre,1200252,Epitaciolândia
BR,Brasil,12,Acre,1200302,Feijó
BR,Brasil,12,Acre,1200328,Jordão
BR,Brasil,12,Acre,1200336,Mâncio Lima
BR,Brasil,12,Acre,1200344,Manoel Urbano
BR,Brasil,12,Acre,1200351,Marechal Thaumaturgo
BR,Brasil,12,Acre,1200385,Plácido de Castro
BR,Brasil,12,Acre,1200393,Porto Walter
BR,Brasil,12,Acre,1200401,Rio Branco
BR,Brasil,12,Acre,1200427,Rodrigues Alves
BR,Brasil,12,Acre,1200435,Santa Rosa do Purus
BR,Brasil,41,Paraná,4126702,Tamboara
BR,Brasil,12,Acre,1200450,Senador Guiomard
BR,Brasil,12,Acre,1200500,Sena Madureira
BR,Brasil,12,Acre,1200609,Tarauacá
BR,Brasil,12,Acre,1200708,Xapuri
BR,Brasil,12,Acre,1200807,Porto Acre
BR,Brasil,13,Amazonas,1300029,Alvarães
BR,Brasil,13,Amazonas,1300060,Amaturá
BR,Brasil,13,Amazonas,1300086,Anamã
BR,Brasil,13,Amazonas,1300102,Anori
BR,Brasil,13,Amazonas,1300144,Apuí
BR,Brasil,13,Amazonas,1300201,Atalaia do Norte
BR,Brasil,13,Amazonas,1300300,Autazes
BR,Brasil,13,Amazonas,1300409,Barcelos
BR,Brasil,13,Amazonas,1300508,Barreirinha
BR,Brasil,13,Amazonas,1300607,Benjamin Constant
BR,Brasil,13,Amazonas,1300631,Beruri
BR,Brasil,13,Amazonas,1300680,Boa Vista do Ramos
BR,Brasil,13,Amazonas,1300706,Boca do Acre
BR,Brasil,13,Amazonas,1300805,Borba
BR,Brasil,13,Amazonas,1300839,Caapiranga
BR,Brasil,13,Amazonas,1300904,Canutama
BR,Brasil,13,Amazonas,1301001,Carauari
BR,Brasil,13,Amazonas,1301100,Careiro
BR,Brasil,13,Amazonas,1301159,Careiro da Várzea
BR,Brasil,13,Amazonas,1301209,Coari
BR,Brasil,13,Amazonas,1301308,Codajás
BR,Brasil,13,Amazonas,1301407,Eirunepé
BR,Brasil,13,Amazonas,1301506,Envira
BR,Brasil,13,Amazonas,1301605,Fonte Boa
BR,Brasil,13,Amazonas,1301654,Guajará
BR,Brasil,13,Amazonas,1301704,Humaitá
BR,Brasil,13,Amazonas,1301803,Ipixuna
BR,Brasil,22,Piauí,2203255,Curralinhos
BR,Brasil,13,Amazonas,1301852,Iranduba
BR,Brasil,13,Amazonas,1301902,Itacoatiara
BR,Brasil,13,Amazonas,1301951,Itamarati
BR,Brasil,13,Amazonas,1302009,Itapiranga
BR,Brasil,13,Amazonas,1302108,Japurá
BR,Brasil,13,Amazonas,1302207,Juruá
BR,Brasil,13,Amazonas,1302306,Jutaí
BR,Brasil,13,Amazonas,1302405,Lábrea
BR,Brasil,13,Amazonas,1302504,Manacapuru
BR,Brasil,13,Amazonas,1302553,Manaquiri
BR,Brasil,13,Amazonas,1302603,Manaus
BR,Brasil,13,Amazonas,1302702,Manicoré
BR,Brasil,13,Amazonas,1302801,Maraã
BR,Brasil,13,Amazonas,1302900,Maués
BR,Brasil,13,Amazonas,1303007,Nhamundá
BR,Brasil,13,Amazonas,1303106,Nova Olinda do Norte
BR,Brasil,13,Amazonas,1303205,Novo Airão
BR,Brasil,13,Amazonas,1303304,Novo Aripuanã
BR,Brasil,13,Amazonas,1303403,Parintins
BR,Brasil,13,Amazonas,1303502,Pauini
BR,Brasil,13,Amazonas,1303536,Presidente Figueiredo
BR,Brasil,13,Amazonas,1303569,Rio Preto da Eva
BR,Brasil,13,Amazonas,1303601,Santa Isabel do Rio Negro
BR,Brasil,13,Amazonas,1303700,Santo Antônio do Içá
BR,Brasil,13,Amazonas,1303809,São Gabriel da Cachoeira
BR,Brasil,13,Amazonas,1303908,São Paulo de Olivença
BR,Brasil,13,Amazonas,1303957,São Sebastião do Uatumã
BR,Brasil,13,Amazonas,1304005,Silves
BR,Brasil,21,Maranhão,2102200,Buriti
BR,Brasil,13,Amazonas,1304062,Tabatinga
BR,Brasil,13,Amazonas,1304104,Tapauá
BR,Brasil,13,Amazonas,1304203,Tefé
BR,Brasil,13,Amazonas,1304237,Tonantins
BR,Brasil,13,Amazonas,1304260,Uarini
BR,Brasil,13,Amazonas,1304302,Urucará
BR,Brasil,13,Amazonas,1304401,Urucurituba
BR,Brasil,14,Roraima,1400027,Amajari
BR,Brasil,14,Roraima,1400050,Alto Alegre
BR,Brasil,14,Roraima,1400100,Boa Vista
BR,Brasil,14,Roraima,1400159,Bonfim
BR,Brasil,14,Roraima,1400175,Cantá
BR,Brasil,14,Roraima,1400209,Caracaraí
BR,Brasil,14,Roraima,1400233,Caroebe
BR,Brasil,14,Roraima,1400282,Iracema
BR,Brasil,14,Roraima,1400506,São João da Baliza
BR,Brasil,14,Roraima,1400605,São Luiz
BR,Brasil,14,Roraima,1400704,Uiramutã
BR,Brasil,15,Pará,1500107,Abaetetuba
BR,Brasil,15,Pará,1500131,Abel Figueiredo
BR,Brasil,15,Pará,1500206,Acará
BR,Brasil,22,Piauí,2203800,Flores do Piauí
BR,Brasil,15,Pará,1500305,Afuá
BR,Brasil,15,Pará,1500347,Água Azul do Norte
BR,Brasil,15,Pará,1500404,Alenquer
BR,Brasil,15,Pará,1500503,Almeirim
BR,Brasil,15,Pará,1500602,Altamira
BR,Brasil,15,Pará,1500701,Anajás
BR,Brasil,15,Pará,1500800,Ananindeua
BR,Brasil,15,Pará,1500859,Anapu
BR,Brasil,15,Pará,1500909,Augusto Corrêa
BR,Brasil,15,Pará,1500958,Aurora do Pará
BR,Brasil,15,Pará,1501006,Aveiro
BR,Brasil,15,Pará,1501105,Bagre
BR,Brasil,15,Pará,1501204,Baião
